,AP_Top1_acid,AP50_Top1_acid,AP75_Top1_acid,AP_Top2_acid,AP50_Top2_acid,AP75_Top2_acid,AP_Top3_acid,AP50_Top3_acid,AP75_Top3_acid,AP_Top5_acid,AP50_Top5_acid,AP75_Top5_acid,AP_Top10_acid,AP50_Top10_acid,AP75_Top10_acid,AP_Top100_acid,AP50_Top100_acid,AP75_Top100_acid,AR_Top1_acid,AR_Top2_acid,AR_Top3_acid,AR_Top5_acid,AR_Top10_acid,AR_Top100_acid,FROC_acid,FROC50_acid,FROC75_acid,iRecall_Top1_acid,iRecall50_Top1_acid,iRecall75_Top1_acid,iRecall_Top2_acid,iRecall50_Top2_acid,iRecall75_Top2_acid,iRecall_Top3_acid,iRecall50_Top3_acid,iRecall75_Top3_acid,iRecall_Top5_acid,iRecall50_Top5_acid,iRecall75_Top5_acid,iRecall_Top10_acid,iRecall50_Top10_acid,iRecall75_Top10_acid,iRecall_Top100_acid,iRecall50_Top100_acid,iRecall75_Top100_acid,AP_Top1_iodine,AP50_Top1_iodine,AP75_Top1_iodine,AP_Top2_iodine,AP50_Top2_iodine,AP75_Top2_iodine,AP_Top3_iodine,AP50_Top3_iodine,AP75_Top3_iodine,AP_Top5_iodine,AP50_Top5_iodine,AP75_Top5_iodine,AP_Top10_iodine,AP50_Top10_iodine,AP75_Top10_iodine,AP_Top100_iodine,AP50_Top100_iodine,AP75_Top100_iodine,AR_Top1_iodine,AR_Top2_iodine,AR_Top3_iodine,AR_Top5_iodine,AR_Top10_iodine,AR_Top100_iodine,FROC_iodine,FROC50_iodine,FROC75_iodine,iRecall_Top1_iodine,iRecall50_Top1_iodine,iRecall75_Top1_iodine,iRecall_Top2_iodine,iRecall50_Top2_iodine,iRecall75_Top2_iodine,iRecall_Top3_iodine,iRecall50_Top3_iodine,iRecall75_Top3_iodine,iRecall_Top5_iodine,iRecall50_Top5_iodine,iRecall75_Top5_iodine,iRecall_Top10_iodine,iRecall50_Top10_iodine,iRecall75_Top10_iodine,iRecall_Top100_iodine,iRecall50_Top100_iodine,iRecall75_Top100_iodine
cascade_rcnn_r50_fpn_2x_acid_hsil,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,16.0,16.0,6.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,17.0,18.0,18.0,17.0,16.0,16.0,16.0,16.0,7.0,16.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascade_rcnn_r50_fpn_2x_lr0.001_acid_hsil,17.0,12.0,10.0,17.0,17.0,10.0,16.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0,10.0,10.0,16.0,10.0,17.0,16.0,16.0,10.0,10.0,4.0,16.0,16.0,16.0,17.0,17.0,16.0,17.0,17.0,10.0,16.0,10.0,16.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dual_faster_rcnn_r50_fpn_droi_2x_acid_hsil,18.0,18.0,16.0,16.0,18.0,16.0,16.0,18.0,16.0,16.0,18.0,16.0,16.0,18.0,16.0,16.0,16.0,16.0,18.0,16.0,16.0,16.0,8.0,8.0,16.0,16.0,16.0,18.0,18.0,16.0,16.0,18.0,16.0,16.0,18.0,16.0,16.0,8.0,16.0,8.0,8.0,16.0,8.0,5.0,16.0,10.0,10.0,16.0,16.0,10.0,16.0,16.0,9.0,16.0,16.0,9.0,16.0,16.0,9.0,16.0,16.0,9.0,16.0,18.0,16.0,16.0,16.0,12.0,8.0,16.0,16.0,16.0,18.0,10.0,19.0,16.0,17.0,16.0,16.0,9.0,16.0,16.0,11.0,16.0,12.0,12.0,7.0,8.0,8.0,11.0
dual_faster_rcnn_r50_fpn_droi_2x_iodine_hsil,19.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,12.0,12.0,12.0,12.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,18.0,19.0,19.0,18.0,19.0,19.0,12.0,19.0,12.0,9.0,19.0,12.0,6.0,19.0,9.0,13.0,9.0,10.0,10.0,16.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,16.0,9.0,9.0,11.0,6.0,9.0,10.0,9.0,9.0,13.0,16.0,9.0,12.0,16.0,9.0,12.0,9.0,9.0,6.0,9.0,11.0,6.0,11.0,6.0,6.0,9.0
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_2x_acid_hsil,18.0,12.0,16.0,18.0,18.0,16.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,12.0,16.0,16.0,12.0,16.0,18.0,18.0,17.0,11.0,11.0,11.0,16.0,16.0,11.0,18.0,19.0,11.0,18.0,22.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,18.0,9.0,10.0,16.0,16.0,16.0,16.0,9.0,16.0,16.0,9.0,11.0,16.0,9.0,14.0,16.0,9.0,14.0,18.0,19.0,19.0,14.0,14.0,14.0,19.0,16.0,17.0,18.0,16.0,18.0,19.0,16.0,17.0,19.0,16.0,17.0,14.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_2x_iodine_hsil,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,9.0,11.0,11.0,9.0,11.0,11.0,3.0,11.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,9.0,11.0,11.0,8.0,11.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,4.0,10.0
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_noatt_2x_acid_hsil,12.0,12.0,31.0,17.0,16.0,17.0,17.0,18.0,20.0,12.0,12.0,20.0,12.0,12.0,17.0,12.0,12.0,17.0,12.0,16.0,18.0,12.0,8.0,8.0,12.0,18.0,18.0,12.0,12.0,18.0,16.0,16.0,17.0,16.0,8.0,17.0,12.0,10.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,16.0,10.0,10.0,16.0,10.0,16.0,16.0,10.0,17.0,16.0,10.0,17.0,16.0,10.0,16.0,12.0,10.0,17.0,16.0,16.0,17.0,17.0,13.0,12.0,16.0,12.0,17.0,16.0,10.0,17.0,17.0,17.0,16.0,17.0,16.0,17.0,17.0,10.0,17.0,12.0,8.0,12.0,12.0,8.0,12.0
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_noatt_2x_iodine_hsil,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dual_faster_rcnn_r50_fpn_droi_fpnfusecat_2x_acid_hsil,9.0,9.0,15.0,16.0,11.0,15.0,16.0,11.0,15.0,16.0,11.0,15.0,16.0,11.0,15.0,11.0,11.0,15.0,17.0,19.0,17.0,11.0,11.0,8.0,16.0,11.0,15.0,17.0,21.0,15.0,19.0,11.0,15.0,15.0,11.0,15.0,15.0,11.0,15.0,12.0,8.0,12.0,8.0,3.0,12.0,14.0,14.0,14.0,11.0,11.0,16.0,16.0,11.0,17.0,11.0,11.0,17.0,11.0,11.0,17.0,11.0,11.0,17.0,17.0,17.0,17.0,16.0,15.0,10.0,16.0,11.0,17.0,17.0,14.0,17.0,17.0,11.0,17.0,17.0,11.0,17.0,17.0,11.0,17.0,14.0,10.0,17.0,15.0,10.0,15.0
dual_faster_rcnn_r50_fpn_droi_fpnfusecat_2x_iodine_hsil,17.0,18.0,17.0,17.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,9.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,24.0,17.0,17.0,16.0,17.0,17.0,12.0,17.0,16.0,9.0,17.0,9.0,7.0,17.0,17.0,5.0,16.0,17.0,12.0,17.0,17.0,12.0,17.0,17.0,12.0,17.0,8.0,12.0,17.0,8.0,12.0,17.0,16.0,16.0,16.0,10.0,12.0,10.0,16.0,12.0,16.0,16.0,16.0,16.0,16.0,5.0,16.0,16.0,12.0,16.0,10.0,10.0,16.0,10.0,12.0,10.0,10.0,7.0,10.0
