,AP_Top1_acid,AP50_Top1_acid,AP75_Top1_acid,AP_Top2_acid,AP50_Top2_acid,AP75_Top2_acid,AP_Top3_acid,AP50_Top3_acid,AP75_Top3_acid,AP_Top5_acid,AP50_Top5_acid,AP75_Top5_acid,AP_Top10_acid,AP50_Top10_acid,AP75_Top10_acid,AP_Top100_acid,AP50_Top100_acid,AP75_Top100_acid,AR_Top1_acid,AR_Top2_acid,AR_Top3_acid,AR_Top5_acid,AR_Top10_acid,AR_Top100_acid,FROC_acid,FROC50_acid,FROC75_acid,iRecall_Top1_acid,iRecall50_Top1_acid,iRecall75_Top1_acid,iRecall_Top2_acid,iRecall50_Top2_acid,iRecall75_Top2_acid,iRecall_Top3_acid,iRecall50_Top3_acid,iRecall75_Top3_acid,iRecall_Top5_acid,iRecall50_Top5_acid,iRecall75_Top5_acid,iRecall_Top10_acid,iRecall50_Top10_acid,iRecall75_Top10_acid,iRecall_Top100_acid,iRecall50_Top100_acid,iRecall75_Top100_acid,AP_Top1_iodine,AP50_Top1_iodine,AP75_Top1_iodine,AP_Top2_iodine,AP50_Top2_iodine,AP75_Top2_iodine,AP_Top3_iodine,AP50_Top3_iodine,AP75_Top3_iodine,AP_Top5_iodine,AP50_Top5_iodine,AP75_Top5_iodine,AP_Top10_iodine,AP50_Top10_iodine,AP75_Top10_iodine,AP_Top100_iodine,AP50_Top100_iodine,AP75_Top100_iodine,AR_Top1_iodine,AR_Top2_iodine,AR_Top3_iodine,AR_Top5_iodine,AR_Top10_iodine,AR_Top100_iodine,FROC_iodine,FROC50_iodine,FROC75_iodine,iRecall_Top1_iodine,iRecall50_Top1_iodine,iRecall75_Top1_iodine,iRecall_Top2_iodine,iRecall50_Top2_iodine,iRecall75_Top2_iodine,iRecall_Top3_iodine,iRecall50_Top3_iodine,iRecall75_Top3_iodine,iRecall_Top5_iodine,iRecall50_Top5_iodine,iRecall75_Top5_iodine,iRecall_Top10_iodine,iRecall50_Top10_iodine,iRecall75_Top10_iodine,iRecall_Top100_iodine,iRecall50_Top100_iodine,iRecall75_Top100_iodine
cascade_rcnn_r50_fpn_2x_acid_hsil,"(12.3252, 16)","(25.92404, 16)","(10.87702, 16)","(15.53714, 16)","(33.43272, 16)","(13.10316, 16)","(16.85361, 16)","(36.61266, 16)","(13.98524, 16)","(17.99232, 16)","(39.27966, 16)","(14.78144, 16)","(18.53021, 16)","(40.60026, 16)","(15.06578, 16)","(18.60037, 16)","(40.7787, 16)","(15.08811, 16)","(21.3571, 16)","(29.69665, 17)","(34.03938, 18)","(39.10591, 16)","(42.66631, 16)","(45.73177, 6)","(27.61271, 16)","(50.85532, 16)","(26.19935, 16)","(30.15026, 16)","(52.44177, 16)","(30.57851, 16)","(38.00902, 18)","(65.51465, 18)","(38.24192, 17)","(42.29151, 18)","(72.95267, 18)","(41.92337, 17)","(46.86702, 16)","(80.24042, 16)","(46.80691, 16)","(49.81217, 16)","(86.4012, 7)","(49.36138, 16)","(52.14876, 6)","(90.30804, 6)","(51.69046, 6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascade_rcnn_r50_fpn_2x_lr0.001_acid_hsil,"(13.91028, 17)","(29.21008, 12)","(12.32768, 10)","(17.29883, 17)","(37.02382, 17)","(14.67494, 10)","(18.37893, 16)","(39.86453, 12)","(15.49296, 16)","(19.34473, 16)","(42.06214, 16)","(16.10436, 16)","(19.6436, 16)","(42.77101, 16)","(16.25822, 10)","(19.68812, 10)","(42.80523, 16)","(16.28612, 10)","(22.66099, 17)","(30.37254, 16)","(34.23097, 16)","(38.35551, 10)","(41.06972, 10)","(42.40021, 4)","(28.06508, 16)","(52.4063, 16)","(26.71634, 16)","(31.99098, 17)","(56.64914, 17)","(31.85575, 16)","(38.89557, 17)","(68.59504, 17)","(38.99324, 10)","(42.30654, 16)","(74.4553, 10)","(42.22389, 16)","(45.98047, 10)","(81.29226, 10)","(45.75507, 10)","(48.18182, 10)","(87.45304, 9)","(47.93388, 10)","(48.90308, 11)","(88.58002, 9)","(48.4598, 15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dual_faster_rcnn_r50_fpn_droi_2x_acid_hsil,"(13.6968, 18)","(30.57573, 18)","(11.1809, 16)","(16.70626, 16)","(38.17963, 18)","(13.16969, 16)","(17.69951, 16)","(40.97466, 18)","(13.79105, 16)","(18.71836, 16)","(42.84894, 18)","(14.38626, 16)","(19.06886, 16)","(43.58893, 18)","(14.51651, 16)","(19.13867, 16)","(43.63093, 16)","(14.54362, 16)","(22.09154, 18)","(29.50506, 16)","(32.73018, 16)","(36.76424, 16)","(40.09047, 8)","(41.96381, 8)","(27.17707, 16)","(52.84726, 16)","(24.76241, 16)","(31.18708, 18)","(58.15177, 18)","(30.42825, 16)","(37.69346, 16)","(69.42149, 18)","(36.88956, 16)","(40.84147, 16)","(74.53043, 18)","(40.12021, 16)","(44.26747, 16)","(81.06687, 8)","(44.02705, 16)","(46.99474, 8)","(87.90383, 8)","(45.60481, 16)","(48.23441, 8)","(90.23291, 5)","(45.90533, 16)","(12.04594, 10)","(26.36772, 10)","(10.67263, 16)","(15.1707, 16)","(32.98414, 10)","(13.11181, 16)","(16.35649, 16)","(35.5637, 9)","(13.82844, 16)","(17.36737, 16)","(37.96735, 9)","(14.2945, 16)","(17.9369, 16)","(39.47857, 9)","(14.49091, 16)","(18.07144, 16)","(40.02211, 9)","(14.56159, 16)","(20.19221, 18)","(28.62338, 16)","(32.6026, 16)","(37.16883, 16)","(41.72987, 12)","(44.48312, 8)","(26.20186, 16)","(49.5436, 16)","(24.69017, 16)","(29.20361, 18)","(52.81743, 10)","(29.6018, 19)","(37.85124, 16)","(67.5432, 17)","(38.16679, 16)","(41.72051, 16)","(74.68069, 9)","(41.7731, 16)","(45.86777, 16)","(81.66792, 11)","(45.52968, 16)","(48.94816, 12)","(88.95567, 12)","(47.93388, 7)","(50.9166, 8)","(92.26146, 8)","(50.1127, 11)"
dual_faster_rcnn_r50_fpn_droi_2x_iodine_hsil,"(12.92255, 19)","(28.99429, 19)","(10.7449, 19)","(16.06265, 19)","(37.26839, 19)","(12.84551, 19)","(17.02867, 19)","(40.00723, 21)","(13.40242, 19)","(17.95428, 19)","(42.21954, 19)","(13.80303, 19)","(18.38258, 19)","(43.26779, 19)","(14.01646, 19)","(18.41694, 19)","(43.38568, 19)","(14.0226, 19)","(20.8728, 19)","(28.35019, 19)","(31.96913, 12)","(36.12028, 12)","(40.14902, 12)","(41.66046, 12)","(26.09671, 19)","(52.43671, 19)","(23.91089, 19)","(29.46657, 19)","(55.44703, 18)","(29.07588, 19)","(36.21337, 19)","(68.36965, 18)","(35.76258, 19)","(39.63937, 19)","(74.75582, 18)","(38.69271, 19)","(43.3734, 19)","(81.36739, 12)","(42.14876, 19)","(46.40872, 12)","(87.90383, 9)","(44.70323, 19)","(47.62585, 12)","(91.51014, 6)","(44.85349, 19)","(13.07976, 9)","(28.16917, 13)","(11.32208, 9)","(16.10479, 10)","(35.31184, 10)","(13.75218, 16)","(17.3609, 10)","(38.58025, 10)","(14.33104, 9)","(18.58949, 9)","(41.07525, 10)","(15.07141, 9)","(19.28635, 9)","(42.65721, 10)","(15.40568, 9)","(19.48869, 9)","(42.90085, 10)","(15.48606, 9)","(20.88831, 9)","(29.07013, 16)","(33.34545, 9)","(38.4987, 9)","(43.69351, 11)","(46.37922, 6)","(27.13692, 9)","(51.11688, 10)","(25.73655, 9)","(30.21037, 9)","(54.1698, 13)","(30.95417, 16)","(38.32457, 9)","(68.59504, 12)","(38.69271, 16)","(42.76484, 9)","(75.95793, 12)","(42.59955, 9)","(47.02479, 9)","(83.47107, 6)","(47.18257, 9)","(50.80391, 11)","(90.60856, 6)","(50.63862, 11)","(52.47934, 6)","(94.29001, 6)","(51.91585, 9)"
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_2x_acid_hsil,"(13.37448, 18)","(29.68834, 12)","(10.71348, 16)","(16.69234, 18)","(37.59341, 18)","(13.03596, 16)","(17.72361, 18)","(40.30782, 16)","(13.55218, 16)","(18.51841, 16)","(42.73662, 16)","(13.93936, 16)","(18.86979, 16)","(43.5903, 12)","(14.13365, 16)","(18.90291, 16)","(43.98569, 12)","(14.13884, 16)","(21.38371, 18)","(29.18042, 18)","(32.77275, 17)","(36.92922, 11)","(41.09101, 11)","(42.4694, 11)","(26.63043, 16)","(52.97651, 16)","(24.71679, 11)","(30.18783, 18)","(56.49887, 19)","(29.6018, 11)","(37.38542, 18)","(68.9707, 22)","(37.9414, 11)","(40.57851, 11)","(75.73253, 10)","(40.94666, 11)","(44.47032, 11)","(81.96844, 11)","(44.4027, 11)","(47.88881, 11)","(88.35462, 10)","(47.18257, 11)","(48.7453, 11)","(90.60856, 10)","(47.85875, 11)","(12.00199, 18)","(24.71577, 9)","(10.69473, 10)","(14.77828, 16)","(31.27704, 16)","(12.66464, 16)","(15.92778, 16)","(34.43421, 9)","(13.27577, 16)","(17.05655, 16)","(37.31472, 9)","(14.00088, 11)","(17.68218, 16)","(38.91701, 9)","(14.233, 14)","(17.80386, 16)","(39.32013, 9)","(14.2988, 14)","(20.56104, 18)","(28.37922, 19)","(32.57143, 19)","(37.72468, 14)","(42.81039, 14)","(45.14286, 14)","(26.0, 19)","(48.67532, 16)","(24.39332, 17)","(29.73704, 18)","(52.06612, 16)","(30.27799, 18)","(37.18257, 19)","(66.3411, 16)","(37.64087, 17)","(41.65289, 19)","(74.4553, 16)","(41.39745, 17)","(46.03306, 14)","(82.64463, 16)","(45.52968, 14)","(50.18783, 14)","(89.18107, 14)","(49.28625, 14)","(51.89331, 14)","(92.03606, 14)","(50.56349, 14)"
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_2x_iodine_hsil,"(11.81921, 11)","(27.34837, 11)","(9.23323, 11)","(14.71562, 11)","(34.71208, 11)","(11.21093, 11)","(15.75195, 11)","(37.55841, 9)","(11.83268, 11)","(16.72686, 11)","(40.30916, 11)","(12.14233, 11)","(17.26438, 11)","(41.57226, 11)","(12.36625, 11)","(17.38644, 11)","(41.91931, 11)","(12.39608, 11)","(19.98403, 11)","(27.24854, 11)","(30.80894, 11)","(35.25812, 11)","(39.37733, 11)","(41.0165, 11)","(25.02699, 11)","(51.42553, 9)","(22.43595, 11)","(28.21187, 11)","(54.1698, 11)","(27.1976, 11)","(35.17656, 11)","(67.16754, 11)","(34.18482, 11)","(38.25695, 11)","(74.2299, 9)","(37.26521, 11)","(42.26146, 11)","(81.142, 9)","(40.19534, 11)","(45.79264, 11)","(86.25094, 9)","(43.57626, 11)","(47.18257, 11)","(90.98422, 3)","(44.4027, 11)","(13.00067, 11)","(28.00073, 9)","(11.71839, 10)","(16.22366, 11)","(35.0453, 9)","(13.67691, 10)","(17.28054, 11)","(37.79051, 9)","(14.48515, 10)","(18.37488, 11)","(40.72825, 9)","(15.2468, 10)","(19.112, 10)","(42.56192, 9)","(15.62007, 10)","(19.27269, 10)","(43.01218, 9)","(15.66502, 10)","(20.89351, 11)","(29.17403, 11)","(33.08052, 11)","(38.12468, 10)","(43.62597, 10)","(45.39221, 10)","(27.06939, 11)","(51.11688, 9)","(25.94434, 10)","(30.21788, 11)","(54.62059, 9)","(30.95417, 10)","(38.72276, 11)","(67.91886, 9)","(39.44403, 11)","(42.24643, 11)","(74.75582, 8)","(42.67468, 11)","(46.66416, 10)","(82.41923, 9)","(47.33283, 10)","(50.94666, 10)","(89.10594, 8)","(51.46506, 10)","(52.00601, 10)","(93.16304, 4)","(52.29151, 10)"
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_noatt_2x_acid_hsil,"(13.43001, 12)","(29.91639, 12)","(11.11234, 31)","(16.6493, 17)","(37.61364, 16)","(13.54109, 17)","(17.60359, 17)","(40.5068, 18)","(14.02211, 20)","(18.60755, 12)","(43.04558, 12)","(14.415, 20)","(19.11115, 12)","(44.28082, 12)","(14.59437, 17)","(19.25416, 12)","(44.62934, 12)","(14.59889, 17)","(21.08036, 12)","(29.08994, 16)","(32.50665, 18)","(36.72166, 12)","(41.05907, 8)","(43.76264, 8)","(26.55592, 12)","(52.90808, 18)","(24.26823, 18)","(29.75958, 12)","(56.27348, 12)","(29.30128, 18)","(36.96469, 16)","(68.51991, 16)","(36.96469, 17)","(40.14275, 16)","(74.53043, 8)","(39.59429, 17)","(43.89181, 12)","(81.59279, 10)","(42.07363, 16)","(47.85875, 8)","(90.00751, 8)","(44.70323, 8)","(50.00751, 8)","(92.63711, 8)","(46.65665, 8)","(12.2397, 16)","(26.57347, 10)","(10.7655, 10)","(15.10004, 16)","(32.85032, 10)","(12.89643, 16)","(16.30023, 16)","(35.48464, 10)","(13.63357, 17)","(17.43706, 16)","(38.24927, 10)","(14.26415, 17)","(18.10171, 16)","(39.94435, 10)","(14.53251, 16)","(18.29303, 12)","(40.55141, 10)","(14.5967, 17)","(20.43117, 16)","(28.21299, 16)","(32.6026, 17)","(37.83896, 17)","(42.68052, 13)","(45.04935, 12)","(26.16178, 16)","(49.2987, 12)","(25.03154, 17)","(29.54921, 16)","(53.04282, 10)","(29.97746, 17)","(37.73854, 17)","(67.46807, 17)","(37.9414, 16)","(41.72802, 17)","(74.4553, 16)","(41.84823, 17)","(46.31856, 17)","(82.71976, 10)","(45.98047, 17)","(49.86476, 12)","(89.33133, 8)","(49.36138, 12)","(51.56273, 12)","(93.01277, 8)","(50.93914, 12)"
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_noatt_2x_iodine_hsil,"(6.25318, 1)","(18.57324, 1)","(2.53876, 1)","(7.39791, 1)","(22.23897, 1)","(2.82245, 1)","(7.96747, 1)","(24.07627, 1)","(2.97587, 1)","(8.41536, 1)","(25.48285, 1)","(3.02152, 1)","(8.79585, 1)","(26.62474, 1)","(3.09831, 1)","(8.8663, 1)","(26.85538, 1)","(3.10682, 1)","(12.28313, 1)","(17.13145, 1)","(20.0958, 1)","(23.17722, 1)","(26.8281, 1)","(27.88717, 1)","(15.41245, 1)","(37.88489, 1)","(9.9521, 1)","(17.34035, 1)","(41.09692, 1)","(12.39669, 1)","(23.15552, 1)","(54.24493, 1)","(16.37866, 1)","(26.3411, 1)","(61.23216, 1)","(18.70774, 1)","(29.34636, 1)","(67.84373, 1)","(20.21037, 1)","(32.75733, 1)","(74.90609, 1)","(22.53944, 1)","(33.55372, 1)","(76.33358, 1)","(22.83997, 1)","(7.83476, 1)","(19.1718, 1)","(5.78942, 1)","(9.25419, 1)","(23.10687, 1)","(6.44444, 1)","(9.87221, 1)","(24.88617, 1)","(6.65425, 1)","(10.56206, 1)","(26.87176, 1)","(6.9697, 1)","(11.15999, 1)","(28.46287, 1)","(7.16378, 1)","(11.10049, 1)","(28.23929, 1)","(7.12173, 1)","(14.41558, 1)","(19.19481, 1)","(22.29091, 1)","(27.47532, 1)","(33.31429, 1)","(35.31429, 1)","(17.97996, 1)","(38.05566, 1)","(15.30241, 1)","(20.84899, 1)","(42.37415, 1)","(19.15853, 1)","(25.96544, 1)","(53.26822, 1)","(23.36589, 1)","(29.21112, 1)","(60.25545, 1)","(25.39444, 1)","(35.07889, 1)","(71.90083, 1)","(30.65364, 1)","(40.36814, 1)","(81.21713, 1)","(34.93614, 1)","(42.06612, 1)","(83.7716, 1)","(36.06311, 1)"
dual_faster_rcnn_r50_fpn_droi_fpnfusecat_2x_acid_hsil,"(12.93999, 9)","(30.03136, 9)","(10.70983, 15)","(16.317, 16)","(38.03165, 11)","(13.03265, 15)","(17.31041, 16)","(40.62631, 11)","(13.69631, 15)","(18.12322, 16)","(42.8971, 11)","(14.02092, 15)","(18.51248, 16)","(44.39445, 11)","(14.20855, 15)","(18.62485, 11)","(44.79942, 11)","(14.23674, 15)","(20.93667, 17)","(28.66418, 19)","(31.83076, 17)","(35.57743, 11)","(39.89888, 11)","(41.94784, 8)","(26.17122, 16)","(52.74842, 11)","(23.96411, 15)","(29.55672, 17)","(56.19835, 21)","(28.47483, 15)","(36.65665, 19)","(68.82044, 11)","(36.21337, 15)","(39.43651, 15)","(75.13148, 11)","(38.91811, 15)","(42.66717, 15)","(81.51766, 11)","(41.47258, 15)","(46.56649, 12)","(88.12923, 8)","(44.77836, 12)","(47.62585, 8)","(92.56198, 3)","(45.45455, 12)","(12.29348, 14)","(26.03339, 14)","(10.79984, 14)","(14.87488, 11)","(32.90724, 11)","(12.76062, 16)","(16.09338, 16)","(35.88823, 11)","(13.62313, 17)","(17.2184, 11)","(38.60969, 11)","(14.0991, 17)","(17.86213, 11)","(40.09442, 11)","(14.37994, 17)","(18.09376, 11)","(40.66279, 11)","(14.4278, 17)","(20.22857, 17)","(27.8961, 17)","(32.49351, 17)","(37.25714, 16)","(41.71948, 15)","(44.4987, 10)","(26.04675, 16)","(49.41002, 11)","(25.03896, 17)","(29.2562, 17)","(52.96769, 14)","(30.12772, 17)","(37.03982, 17)","(67.39294, 11)","(37.34035, 17)","(41.32231, 17)","(75.20661, 11)","(42.07363, 17)","(45.66491, 17)","(82.87002, 11)","(45.37941, 17)","(48.88054, 14)","(89.63186, 10)","(48.15928, 17)","(50.89406, 15)","(93.91435, 10)","(49.43651, 15)"
dual_faster_rcnn_r50_fpn_droi_fpnfusecat_2x_iodine_hsil,"(13.00226, 17)","(28.91068, 18)","(10.10118, 17)","(16.08521, 17)","(36.40738, 15)","(11.94287, 17)","(17.10996, 17)","(39.16666, 17)","(12.44876, 17)","(17.97593, 17)","(41.57152, 17)","(12.8375, 17)","(18.43138, 17)","(42.75446, 17)","(13.00696, 17)","(18.51337, 17)","(42.93621, 17)","(13.0357, 17)","(20.91538, 17)","(28.46195, 17)","(31.84673, 17)","(35.66259, 16)","(39.23363, 16)","(40.91538, 9)","(26.18262, 17)","(52.20862, 17)","(22.87691, 17)","(29.52667, 17)","(55.89782, 18)","(28.09917, 17)","(36.43125, 17)","(67.7686, 24)","(34.63561, 17)","(39.56424, 17)","(74.4553, 16)","(37.41548, 17)","(42.9151, 17)","(81.81818, 12)","(40.42074, 17)","(45.80015, 16)","(87.15252, 9)","(42.44929, 17)","(46.7994, 9)","(89.93238, 7)","(42.97521, 17)","(13.03686, 17)","(27.0235, 5)","(11.79051, 16)","(15.97499, 17)","(33.65844, 12)","(13.94978, 17)","(16.97979, 17)","(37.07696, 12)","(14.63075, 17)","(18.14864, 17)","(40.23583, 12)","(15.44451, 17)","(18.72199, 8)","(42.4089, 12)","(15.69288, 17)","(18.93064, 8)","(42.67557, 12)","(15.72566, 17)","(21.36104, 16)","(29.07532, 16)","(32.54545, 16)","(37.94286, 10)","(43.13247, 12)","(45.17403, 10)","(26.93581, 16)","(51.2282, 12)","(25.95918, 16)","(30.89406, 16)","(53.56875, 16)","(32.15627, 16)","(38.36213, 16)","(67.46807, 5)","(39.3689, 16)","(41.78062, 16)","(74.98122, 12)","(42.37415, 16)","(46.38618, 10)","(82.71976, 10)","(46.58152, 16)","(50.30804, 10)","(89.85725, 12)","(49.51165, 10)","(51.79564, 10)","(91.20962, 7)","(51.46506, 10)"
