                                                                   ,AP_Top1_acid ,AP50_Top1_acid ,AP75_Top1_acid ,AP_Top2_acid ,AP50_Top2_acid ,AP75_Top2_acid ,AP_Top3_acid ,AP50_Top3_acid ,AP75_Top3_acid ,AP_Top5_acid ,AP50_Top5_acid ,AP75_Top5_acid ,AP_Top10_acid ,AP50_Top10_acid ,AP75_Top10_acid ,AP_Top100_acid ,AP50_Top100_acid ,AP75_Top100_acid ,AR_Top1_acid ,AR_Top2_acid ,AR_Top3_acid ,AR_Top5_acid ,AR_Top10_acid ,AR_Top100_acid ,FROC_acid ,FROC50_acid ,FROC75_acid ,iRecall_Top1_acid ,iRecall50_Top1_acid ,iRecall75_Top1_acid ,iRecall_Top2_acid ,iRecall50_Top2_acid ,iRecall75_Top2_acid ,iRecall_Top3_acid ,iRecall50_Top3_acid ,iRecall75_Top3_acid ,iRecall_Top5_acid ,iRecall50_Top5_acid ,iRecall75_Top5_acid ,iRecall_Top10_acid ,iRecall50_Top10_acid ,iRecall75_Top10_acid ,iRecall_Top100_acid ,iRecall50_Top100_acid ,iRecall75_Top100_acid ,AP_Top1_iodine ,AP50_Top1_iodine ,AP75_Top1_iodine ,AP_Top2_iodine ,AP50_Top2_iodine ,AP75_Top2_iodine ,AP_Top3_iodine ,AP50_Top3_iodine ,AP75_Top3_iodine ,AP_Top5_iodine ,AP50_Top5_iodine ,AP75_Top5_iodine ,AP_Top10_iodine ,AP50_Top10_iodine ,AP75_Top10_iodine ,AP_Top100_iodine ,AP50_Top100_iodine ,AP75_Top100_iodine ,AR_Top1_iodine ,AR_Top2_iodine ,AR_Top3_iodine ,AR_Top5_iodine ,AR_Top10_iodine ,AR_Top100_iodine ,FROC_iodine ,FROC50_iodine ,FROC75_iodine ,iRecall_Top1_iodine ,iRecall50_Top1_iodine ,iRecall75_Top1_iodine ,iRecall_Top2_iodine ,iRecall50_Top2_iodine ,iRecall75_Top2_iodine ,iRecall_Top3_iodine ,iRecall50_Top3_iodine ,iRecall75_Top3_iodine ,iRecall_Top5_iodine ,iRecall50_Top5_iodine ,iRecall75_Top5_iodine ,iRecall_Top10_iodine ,iRecall50_Top10_iodine ,iRecall75_Top10_iodine ,iRecall_Top100_iodine ,iRecall50_Top100_iodine ,iRecall75_Top100_iodine
cascade_rcnn_r50_fpn_2x_acid_hsil                                  ,12.3252      ,25.92404       ,10.87702       ,15.53714     ,33.43272       ,13.10316       ,16.85361     ,36.61266       ,13.98524       ,17.99232     ,39.27966       ,14.78144       ,18.53021      ,40.60026        ,15.06578        ,18.60037       ,40.7787          ,15.08811         ,21.3571      ,29.69665     ,34.03938     ,39.10591     ,42.66631      ,45.73177       ,27.61271  ,50.85532    ,26.19935    ,30.15026          ,52.44177            ,30.57851            ,38.00902          ,65.51465            ,38.24192            ,42.29151          ,72.95267            ,41.92337            ,46.86702          ,80.24042            ,46.80691            ,49.81217           ,86.4012              ,49.36138             ,52.14876            ,90.30804              ,51.69046              ,               ,                 ,                 ,               ,                 ,                 ,               ,                 ,                 ,               ,                 ,                 ,                ,                  ,                  ,                 ,                   ,                   ,               ,               ,               ,               ,                ,                 ,            ,              ,              ,                    ,                      ,                      ,                    ,                      ,                      ,                    ,                      ,                      ,                    ,                      ,                      ,                     ,                       ,                       ,                      ,                        ,
cascade_rcnn_r50_fpn_2x_lr0.001_acid_hsil                          ,13.91028     ,29.21008       ,12.32768       ,17.29883     ,37.02382       ,14.67494       ,18.37893     ,39.86453       ,15.49296       ,19.34473     ,42.06214       ,16.10436       ,19.6436       ,42.77101        ,16.25822        ,19.68812       ,42.80523         ,16.28612         ,22.66099     ,30.37254     ,34.23097     ,38.35551     ,41.06972      ,42.40021       ,28.06508  ,52.4063     ,26.71634    ,31.99098          ,56.64914            ,31.85575            ,38.89557          ,68.59504            ,38.99324            ,42.30654          ,74.4553             ,42.22389            ,45.98047          ,81.29226            ,45.75507            ,48.18182           ,87.45304             ,47.93388             ,48.90308            ,88.58002              ,48.4598               ,               ,                 ,                 ,               ,                 ,                 ,               ,                 ,                 ,               ,                 ,                 ,                ,                  ,                  ,                 ,                   ,                   ,               ,               ,               ,               ,                ,                 ,            ,              ,              ,                    ,                      ,                      ,                    ,                      ,                      ,                    ,                      ,                      ,                    ,                      ,                      ,                     ,                       ,                       ,                      ,                        ,
dual_faster_rcnn_r50_fpn_droi_2x_acid_hsil                         ,13.6968      ,30.57573       ,11.1809        ,16.70626     ,38.17963       ,13.16969       ,17.69951     ,40.97466       ,13.79105       ,18.71836     ,42.84894       ,14.38626       ,19.06886      ,43.58893        ,14.51651        ,19.13867       ,43.63093         ,14.54362         ,22.09154     ,29.50506     ,32.73018     ,36.76424     ,40.09047      ,41.96381       ,27.17707  ,52.84726    ,24.76241    ,31.18708          ,58.15177            ,30.42825            ,37.69346          ,69.42149            ,36.88956            ,40.84147          ,74.53043            ,40.12021            ,44.26747          ,81.06687            ,44.02705            ,46.99474           ,87.90383             ,45.60481             ,48.23441            ,90.23291              ,45.90533              ,12.04594       ,26.36772         ,10.67263         ,15.1707        ,32.98414         ,13.11181         ,16.35649       ,35.5637          ,13.82844         ,17.36737       ,37.96735         ,14.2945          ,17.9369         ,39.47857          ,14.49091          ,18.07144         ,40.02211           ,14.56159           ,20.19221       ,28.62338       ,32.6026        ,37.16883       ,41.72987        ,44.48312         ,26.20186    ,49.5436       ,24.69017      ,29.20361            ,52.81743              ,29.6018               ,37.85124            ,67.5432               ,38.16679              ,41.72051            ,74.68069              ,41.7731               ,45.86777            ,81.66792              ,45.52968              ,48.94816             ,88.95567               ,47.93388               ,50.9166               ,92.26146                ,50.1127
dual_faster_rcnn_r50_fpn_droi_2x_iodine_hsil                       ,12.92255     ,28.99429       ,10.7449        ,16.06265     ,37.26839       ,12.84551       ,17.02867     ,40.00723       ,13.40242       ,17.95428     ,42.21954       ,13.80303       ,18.38258      ,43.26779        ,14.01646        ,18.41694       ,43.38568         ,14.0226          ,20.8728      ,28.35019     ,31.96913     ,36.12028     ,40.14902      ,41.66046       ,26.09671  ,52.43671    ,23.91089    ,29.46657          ,55.44703            ,29.07588            ,36.21337          ,68.36965            ,35.76258            ,39.63937          ,74.75582            ,38.69271            ,43.3734           ,81.36739            ,42.14876            ,46.40872           ,87.90383             ,44.70323             ,47.62585            ,91.51014              ,44.85349              ,13.07976       ,28.16917         ,11.32208         ,16.10479       ,35.31184         ,13.75218         ,17.3609        ,38.58025         ,14.33104         ,18.58949       ,41.07525         ,15.07141         ,19.28635        ,42.65721          ,15.40568          ,19.48869         ,42.90085           ,15.48606           ,20.88831       ,29.07013       ,33.34545       ,38.4987        ,43.69351        ,46.37922         ,27.13692    ,51.11688      ,25.73655      ,30.21037            ,54.1698               ,30.95417              ,38.32457            ,68.59504              ,38.69271              ,42.76484            ,75.95793              ,42.59955              ,47.02479            ,83.47107              ,47.18257              ,50.80391             ,90.60856               ,50.63862               ,52.47934              ,94.29001                ,51.91585
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_2x_acid_hsil         ,13.37448     ,29.68834       ,10.71348       ,16.69234     ,37.59341       ,13.03596       ,17.72361     ,40.30782       ,13.55218       ,18.51841     ,42.73662       ,13.93936       ,18.86979      ,43.5903         ,14.13365        ,18.90291       ,43.98569         ,14.13884         ,21.38371     ,29.18042     ,32.77275     ,36.92922     ,41.09101      ,42.4694        ,26.63043  ,52.97651    ,24.71679    ,30.18783          ,56.49887            ,29.6018             ,37.38542          ,68.9707             ,37.9414             ,40.57851          ,75.73253            ,40.94666            ,44.47032          ,81.96844            ,44.4027             ,47.88881           ,88.35462             ,47.18257             ,48.7453             ,90.60856              ,47.85875              ,12.00199       ,24.71577         ,10.69473         ,14.77828       ,31.27704         ,12.66464         ,15.92778       ,34.43421         ,13.27577         ,17.05655       ,37.31472         ,14.00088         ,17.68218        ,38.91701          ,14.233            ,17.80386         ,39.32013           ,14.2988            ,20.56104       ,28.37922       ,32.57143       ,37.72468       ,42.81039        ,45.14286         ,26.0        ,48.67532      ,24.39332      ,29.73704            ,52.06612              ,30.27799              ,37.18257            ,66.3411               ,37.64087              ,41.65289            ,74.4553               ,41.39745              ,46.03306            ,82.64463              ,45.52968              ,50.18783             ,89.18107               ,49.28625               ,51.89331              ,92.03606                ,50.56349
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_2x_iodine_hsil       ,11.81921     ,27.34837       ,9.23323        ,14.71562     ,34.71208       ,11.21093       ,15.75195     ,37.55841       ,11.83268       ,16.72686     ,40.30916       ,12.14233       ,17.26438      ,41.57226        ,12.36625        ,17.38644       ,41.91931         ,12.39608         ,19.98403     ,27.24854     ,30.80894     ,35.25812     ,39.37733      ,41.0165        ,25.02699  ,51.42553    ,22.43595    ,28.21187          ,54.1698             ,27.1976             ,35.17656          ,67.16754            ,34.18482            ,38.25695          ,74.2299             ,37.26521            ,42.26146          ,81.142              ,40.19534            ,45.79264           ,86.25094             ,43.57626             ,47.18257            ,90.98422              ,44.4027               ,13.00067       ,28.00073         ,11.71839         ,16.22366       ,35.0453          ,13.67691         ,17.28054       ,37.79051         ,14.48515         ,18.37488       ,40.72825         ,15.2468          ,19.112          ,42.56192          ,15.62007          ,19.27269         ,43.01218           ,15.66502           ,20.89351       ,29.17403       ,33.08052       ,38.12468       ,43.62597        ,45.39221         ,27.06939    ,51.11688      ,25.94434      ,30.21788            ,54.62059              ,30.95417              ,38.72276            ,67.91886              ,39.44403              ,42.24643            ,74.75582              ,42.67468              ,46.66416            ,82.41923              ,47.33283              ,50.94666             ,89.10594               ,51.46506               ,52.00601              ,93.16304                ,52.29151
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_noatt_2x_acid_hsil   ,13.43001     ,29.91639       ,11.11234       ,16.6493      ,37.61364       ,13.54109       ,17.60359     ,40.5068        ,14.02211       ,18.60755     ,43.04558       ,14.415         ,19.11115      ,44.28082        ,14.59437        ,19.25416       ,44.62934         ,14.59889         ,21.08036     ,29.08994     ,32.50665     ,36.72166     ,41.05907      ,43.76264       ,26.55592  ,52.90808    ,24.26823    ,29.75958          ,56.27348            ,29.30128            ,36.96469          ,68.51991            ,36.96469            ,40.14275          ,74.53043            ,39.59429            ,43.89181          ,81.59279            ,42.07363            ,47.85875           ,90.00751             ,44.70323             ,50.00751            ,92.63711              ,46.65665              ,12.2397        ,26.57347         ,10.7655          ,15.10004       ,32.85032         ,12.89643         ,16.30023       ,35.48464         ,13.63357         ,17.43706       ,38.24927         ,14.26415         ,18.10171        ,39.94435          ,14.53251          ,18.29303         ,40.55141           ,14.5967            ,20.43117       ,28.21299       ,32.6026        ,37.83896       ,42.68052        ,45.04935         ,26.16178    ,49.2987       ,25.03154      ,29.54921            ,53.04282              ,29.97746              ,37.73854            ,67.46807              ,37.9414               ,41.72802            ,74.4553               ,41.84823              ,46.31856            ,82.71976              ,45.98047              ,49.86476             ,89.33133               ,49.36138               ,51.56273              ,93.01277                ,50.93914
dual_faster_rcnn_r50_fpn_droi_fpnalignfusecat_noatt_2x_iodine_hsil ,6.25318      ,18.57324       ,2.53876        ,7.39791      ,22.23897       ,2.82245        ,7.96747      ,24.07627       ,2.97587        ,8.41536      ,25.48285       ,3.02152        ,8.79585       ,26.62474        ,3.09831         ,8.8663         ,26.85538         ,3.10682          ,12.28313     ,17.13145     ,20.0958      ,23.17722     ,26.8281       ,27.88717       ,15.41245  ,37.88489    ,9.9521      ,17.34035          ,41.09692            ,12.39669            ,23.15552          ,54.24493            ,16.37866            ,26.3411           ,61.23216            ,18.70774            ,29.34636          ,67.84373            ,20.21037            ,32.75733           ,74.90609             ,22.53944             ,33.55372            ,76.33358              ,22.83997              ,7.83476        ,19.1718          ,5.78942          ,9.25419        ,23.10687         ,6.44444          ,9.87221        ,24.88617         ,6.65425          ,10.56206       ,26.87176         ,6.9697           ,11.15999        ,28.46287          ,7.16378           ,11.10049         ,28.23929           ,7.12173            ,14.41558       ,19.19481       ,22.29091       ,27.47532       ,33.31429        ,35.31429         ,17.97996    ,38.05566      ,15.30241      ,20.84899            ,42.37415              ,19.15853              ,25.96544            ,53.26822              ,23.36589              ,29.21112            ,60.25545              ,25.39444              ,35.07889            ,71.90083              ,30.65364              ,40.36814             ,81.21713               ,34.93614               ,42.06612              ,83.7716                 ,36.06311
dual_faster_rcnn_r50_fpn_droi_fpnfusecat_2x_acid_hsil              ,12.93999     ,30.03136       ,10.70983       ,16.317       ,38.03165       ,13.03265       ,17.31041     ,40.62631       ,13.69631       ,18.12322     ,42.8971        ,14.02092       ,18.51248      ,44.39445        ,14.20855        ,18.62485       ,44.79942         ,14.23674         ,20.93667     ,28.66418     ,31.83076     ,35.57743     ,39.89888      ,41.94784       ,26.17122  ,52.74842    ,23.96411    ,29.55672          ,56.19835            ,28.47483            ,36.65665          ,68.82044            ,36.21337            ,39.43651          ,75.13148            ,38.91811            ,42.66717          ,81.51766            ,41.47258            ,46.56649           ,88.12923             ,44.77836             ,47.62585            ,92.56198              ,45.45455              ,12.29348       ,26.03339         ,10.79984         ,14.87488       ,32.90724         ,12.76062         ,16.09338       ,35.88823         ,13.62313         ,17.2184        ,38.60969         ,14.0991          ,17.86213        ,40.09442          ,14.37994          ,18.09376         ,40.66279           ,14.4278            ,20.22857       ,27.8961        ,32.49351       ,37.25714       ,41.71948        ,44.4987          ,26.04675    ,49.41002      ,25.03896      ,29.2562             ,52.96769              ,30.12772              ,37.03982            ,67.39294              ,37.34035              ,41.32231            ,75.20661              ,42.07363              ,45.66491            ,82.87002              ,45.37941              ,48.88054             ,89.63186               ,48.15928               ,50.89406              ,93.91435                ,49.43651
dual_faster_rcnn_r50_fpn_droi_fpnfusecat_2x_iodine_hsil            ,13.00226     ,28.91068       ,10.10118       ,16.08521     ,36.40738       ,11.94287       ,17.10996     ,39.16666       ,12.44876       ,17.97593     ,41.57152       ,12.8375        ,18.43138      ,42.75446        ,13.00696        ,18.51337       ,42.93621         ,13.0357          ,20.91538     ,28.46195     ,31.84673     ,35.66259     ,39.23363      ,40.91538       ,26.18262  ,52.20862    ,22.87691    ,29.52667          ,55.89782            ,28.09917            ,36.43125          ,67.7686             ,34.63561            ,39.56424          ,74.4553             ,37.41548            ,42.9151           ,81.81818            ,40.42074            ,45.80015           ,87.15252             ,42.44929             ,46.7994             ,89.93238              ,42.97521              ,13.03686       ,27.0235          ,11.79051         ,15.97499       ,33.65844         ,13.94978         ,16.97979       ,37.07696         ,14.63075         ,18.14864       ,40.23583         ,15.44451         ,18.72199        ,42.4089           ,15.69288          ,18.93064         ,42.67557           ,15.72566           ,21.36104       ,29.07532       ,32.54545       ,37.94286       ,43.13247        ,45.17403         ,26.93581    ,51.2282       ,25.95918      ,30.89406            ,53.56875              ,32.15627              ,38.36213            ,67.46807              ,39.3689               ,41.78062            ,74.98122              ,42.37415              ,46.38618            ,82.71976              ,46.58152              ,50.30804             ,89.85725               ,49.51165               ,51.79564              ,91.20962                ,51.46506
